Datum; Uhrzeit;Gesamtanzahl; Anz_Trainingsdaten; Anz_Testdaten; n-Runde; Erfolgsrate; Beispiel-Fehler; Standardabweichung; Konfidenzintervall-Unten; Konfidenzintervall-Oben;Anz_Trainingsdaten; Anz_Epoch; Anz_Perceptron; Anz_IMGVectoren; Anz_GridCols; Anz_GridRows;Erf_Stop; Erf_VorVrechts; Erf_VorVgewahren; Erf_FahrLinks; Erf_FahrRechts; Erf_Vorfahrsstr
2025-01-15; 14:32:35; 43345; 26007; 17337; 79; 0,7418; 0,2582; 0,0033; 0,7353; 0,7483; 26007; 400; 3; 245; 7; 7; 0,8711; 0,6404;0,7541; 0,2599;0,9905; 0,9337; 
2025-01-15; 14:33:50; 43345; 26007; 17337; 80; 0,7884; 0,2116; 0,0031; 0,7823; 0,7945; 26007; 400; 3; 245; 7; 7; 0,8715; 0,7825;0,8880; 0,6621;0,5933; 0,9313; 
2025-01-15; 14:35:11; 43345; 26007; 17337; 81; 0,7865; 0,2135; 0,0031; 0,7804; 0,7926; 26007; 400; 3; 245; 7; 7; 0,7702; 0,8770;0,8325; 0,6844;0,6263; 0,9294; 
2025-01-15; 14:36:27; 43345; 26007; 17337; 82; 0,7643; 0,2357; 0,0032; 0,7579; 0,7706; 26007; 400; 3; 245; 7; 7; 0,9008; 0,7311;0,7457; 0,9163;0,3579; 0,9254; 
2025-01-15; 14:37:50; 43345; 26007; 17337; 83; 0,7298; 0,2702; 0,0034; 0,7232; 0,7364; 26007; 400; 3; 245; 7; 7; 0,8286; 0,7741;0,6271; 0,9506;0,2708; 0,9248; 
2025-01-15; 14:39:05; 43345; 26007; 17337; 84; 0,8081; 0,1919; 0,0030; 0,8022; 0,8140; 26007; 400; 3; 245; 7; 7; 0,9160; 0,7971;0,8105; 0,8125;0,5765; 0,9328; 
2025-01-15; 14:40:23; 43345; 26007; 17337; 85; 0,8086; 0,1914; 0,0030; 0,8028; 0,8145; 26007; 400; 3; 245; 7; 7; 0,8310; 0,8871;0,8362; 0,6682;0,6308; 0,9997; 
2025-01-15; 14:41:45; 43345; 26007; 17337; 86; 0,7874; 0,2126; 0,0031; 0,7813; 0,7935; 26007; 400; 3; 245; 7; 7; 0,9008; 0,6808;0,9093; 0,5617;0,7518; 0,9271; 
2025-01-15; 14:43:02; 43345; 26007; 17337; 87; 0,7898; 0,2102; 0,0031; 0,7837; 0,7958; 26007; 400; 3; 245; 7; 7; 0,9480; 0,6994;0,7957; 0,5338;0,8446; 0,9256; 
2025-01-15; 14:44:23; 43345; 26007; 17337; 88; 0,8058; 0,1942; 0,0030; 0,7999; 0,8117; 26007; 400; 3; 245; 7; 7; 0,8463; 0,7787;0,8765; 0,6633;0,7478; 0,9247; 
2025-01-15; 14:45:41; 43345; 26007; 17337; 89; 0,8071; 0,1929; 0,0030; 0,8012; 0,8129; 26007; 400; 3; 245; 7; 7; 0,8060; 0,7988;0,9067; 0,5852;0,8171; 0,9313; 
2025-01-15; 14:46:58; 43345; 26007; 17337; 90; 0,8121; 0,1879; 0,0030; 0,8063; 0,8179; 26007; 400; 3; 245; 7; 7; 0,9102; 0,8068;0,8811; 0,5382;0,8130; 0,9235; 
2025-01-15; 14:48:15; 43345; 26007; 17337; 91; 0,8104; 0,1896; 0,0030; 0,8046; 0,8162; 26007; 400; 3; 245; 7; 7; 0,8294; 0,8926;0,8654; 0,7650;0,5825; 0,9264; 
2025-01-15; 14:49:32; 43345; 26007; 17337; 92; 0,7954; 0,2046; 0,0031; 0,7894; 0,8014; 26007; 400; 3; 245; 7; 7; 0,8189; 0,8527;0,9063; 0,7124;0,5511; 0,9247; 
2025-01-15; 14:50:58; 43345; 26007; 17337; 93; 0,7974; 0,2026; 0,0031; 0,7914; 0,8034; 26007; 400; 3; 245; 7; 7; 0,8534; 0,8583;0,7850; 0,8602;0,4984; 0,9278; 
2025-01-15; 14:52:16; 43345; 26007; 17337; 94; 0,8031; 0,1969; 0,0030; 0,7972; 0,8091; 26007; 400; 3; 245; 7; 7; 0,8670; 0,7824;0,8666; 0,7213;0,6525; 0,9287; 
2025-01-15; 14:53:32; 43345; 26007; 17337; 95; 0,8018; 0,1982; 0,0030; 0,7958; 0,8077; 26007; 400; 3; 245; 7; 7; 0,8177; 0,8684;0,8509; 0,5521;0,7894; 0,9270; 
2025-01-15; 14:54:50; 43345; 26007; 17337; 96; 0,8088; 0,1912; 0,0030; 0,8029; 0,8146; 26007; 400; 3; 245; 7; 7; 0,8851; 0,8286;0,8751; 0,5958;0,7391; 0,9287; 
2025-01-15; 14:56:06; 43345; 26007; 17337; 97; 0,7624; 0,2376; 0,0032; 0,7561; 0,7688; 26007; 400; 3; 245; 7; 7; 0,8886; 0,7161;0,9203; 0,2280;0,8936; 0,9239; 
2025-01-15; 14:57:26; 43345; 26007; 17337; 98; 0,7909; 0,2091; 0,0031; 0,7848; 0,7969; 26007; 400; 3; 245; 7; 7; 0,9154; 0,6949;0,8912; 0,4440;0,8746; 0,9278; 
2025-01-15; 14:58:41; 43345; 26007; 17337; 99; 0,7693; 0,2307; 0,0032; 0,7631; 0,7756; 26007; 400; 3; 245; 7; 7; 0,8932; 0,7271;0,8796; 0,5633;0,6152; 0,9254; 
